id,osmId,name,addrCity,addrPostcode,addrStreet,addrHousenumber,phone,coordinates
resturant55,node/500004619,Vögele,Bolzano - Bozen,39100,Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße,3,+39 0471 973938,"[11.3525008, 46.4990306]"
resturant56,node/500004620,Forstbräu Central,Bolzano - Bozen,39100,Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße,6,,"[11.3523422, 46.4990726]"
resturant57,node/500004621,Hopfen & Co.,Bolzano - Bozen,39100,Piazza delle Erbe - Obstplatz,17,+39 0471 300788,"[11.3525722, 46.4993259]"
resturant58,node/500004622,Batzenhäusl,Bolzano - Bozen,39100,Via Andreas Hofer - Andreas-Hofer-Straße,30,,"[11.3574364, 46.5013603]"
resturant59,node/506781537,Restel de Fer,Riva del Garda,38066,Via Restel de Fer,10,,"[10.8567684, 45.8825265]"
resturant60,node/511197998,Ristorante Castello,Tenno,38060,Via per San Lorenzo,29,+39 0464 500638,"[10.832553, 45.9168932]"
resturant61,node/511198005,Hotel ristorante Antica Croce,Tenno,38060,Via dei Laghi,1,+39 0464 500620,"[10.8328756, 45.9174613]"
resturant62,node/540994930,Ressmair,Meran - Merano,39012,Romstraße - Via Roma,166,,"[11.1639099, 46.6620319]"
resturant63,node/546185076,Agriturismo Simoni,Palù,38030,Piazza degli Alpini,13,,"[11.1405538, 46.1582629]"
resturant64,node/552719666,Gasthaus Fink,Bolzano - Bozen,39100,Via della Mostra - Mustergasse,9,,"[11.3529148, 46.4984999]"
resturant65,node/554977838,Peter Pan,Arco,38062,Via Santa Caterina,84,,"[10.8687096, 45.9088843]"
resturant66,node/556402530,Mendelhof,Bolzano - Bozen,39100,Via Castel Firmiano,22,,"[11.2997648, 46.4854945]"
resturant67,node/556620323,Walther's,Bolzano - Bozen,39100,Piazza Walther - Walther-Platz,6,,"[11.3551986, 46.498326]"
resturant68,node/556679612,Milli Eat & drink,Trento,38122,Via del Suffragio,2,,"[11.1249148, 46.071873]"
resturant69,node/556679636,Ristorante Pizzeria Green Tower,Trento,38122,Via Torre Verde,29,+39 0461 231545,"[11.1244405, 46.0719552]"
resturant70,node/557149998,Ristorante Pizzeria Chistè,Trento,38122,Via delle Orne,4,+39 0461 262979,"[11.1215699, 46.0688418]"
resturant71,node/557150278,Rosa d'Oro,Trento,38122,Piazza Santa Maria Maggiore,211,+39 0461 261792,"[11.1198472, 46.0683381]"
resturant72,node/557197347,Orient,Trento,38122,Via Don Giovanni Battista Zanella,11/1,+39 0461 234435,"[11.117882, 46.0674557]"
resturant73,node/557197352,Al Duomo,Trento,38122,Via Giuseppe Verdi,77,+39 0461 237209,"[11.120637, 46.0669201]"
resturant74,node/557771903,Pizzeria La Torcia,Bolzano - Bozen,39100,Via dei Conciapelli - Gerbergasse,25,,"[11.357497, 46.498948]"
resturant75,node/557776630,Paulaner Stuben,Bolzano - Bozen,39100,Via dei Portici - Laubengasse,51,,"[11.3535054, 46.4991012]"
resturant76,node/557806687,Schwarze Katz,Bolzano - Bozen,39100,Santa Maddalena di Sotto - Untermagdalena,2a,,"[11.365532, 46.5012077]"
resturant77,node/557944917,Löwengrube,Bolzano - Bozen,39100,Piazza della Dogana - Zollstangenplatz,3,,"[11.3606238, 46.500345]"
resturant78,node/562715340,Pizzeria Corona,Lavis,38015,Piazza Manci,2,,"[11.1139574, 46.1385343]"
resturant79,node/563754421,Il posto di Ste,Trento,38122,Via Malpaga,20,,"[11.1234058, 46.0685089]"
resturant80,node/563754485,Alla Grotta,Trento,38122,Vicolo San Marco,6,+39 0461 987197,"[11.1254356, 46.0697703]"
resturant81,node/563754506,Alla Mostra,Trento,38122,Piazza della Mostra,13,+39 0461 1823484,"[11.1258433, 46.0710994]"
resturant82,node/564884219,Wald,Levico Terme,38056,Via Dante Alighieri,55,,"[11.2985019, 46.0127302]"
resturant83,node/570818625,Ca' dei Gobj - Ristorante Birreria,Trento,38122,Via del Simonino,14,+39 0461 262730,"[11.123725, 46.0685346]"
resturant84,node/597731156,Pra Valentini,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,39048,Streda Plan,4,,"[11.7664734, 46.5480285]"
resturant85,node/609130800,Hotel Waldheim,Sarnonico,38010,Via Bifio Ruffre,1,,"[11.1663497, 46.417282]"
resturant86,node/611022026,L Ciamin Pizzeria Ristorante,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,39048,Via Meisules,64,,"[11.7501384, 46.5566696]"
resturant87,node/614841366,La Segosta,Malé,38027,Via Trento,59,+39 0463 901390,"[10.9135918, 46.354057]"
resturant88,node/617763259,Plosestodl,St. Andrä - Sant'Andrea in Monte,39042,Seilbahnstraße - Via della Funivia,15,,"[11.6825045, 46.6975273]"
resturant89,node/621158946,Gasthaus zur Kirche,Margreid an der Weinstraße - Magrè sulla Strada del Vino,39040,Unterfennberg - Favogna di Sotto,18,,"[11.1817219, 46.2725683]"
resturant90,node/622616549,La Locanda De Mauris,Croviana,38027,Via Nazionale,100,,"[10.9018118, 46.3436876]"
resturant91,node/635778766,Geisler,Brixen - Bressanone,39042,Kreuztal,298/A,,"[11.7112217, 46.683315]"
resturant92,node/684255873,Kinigerhof,Sexten - Sesto,39030,Kiniger,1,,"[12.3607302, 46.6985873]"
resturant93,node/700373524,Stachelburg-Keller,Nals - Nalles,39010,Prissianerstraße - Via Prissiano,2,,"[11.1999248, 46.544609]"
resturant94,node/717700485,Gasthaus zur Krone,Laas - Lasa,39023,Hauptplatz - Piazza Principale,10,,"[10.7011072, 46.6166247]"
resturant95,node/728460029,Pantagruel,Bolzano - Bozen,39100,Viale Druso - Drususallee,66,,"[11.3318982, 46.4951891]"
resturant96,node/728707913,Derby Club,Sterzing - Vipiteno,39049,Penserjochstraße - Via Passo Pennes,1,,"[11.4316204, 46.887291]"
resturant97,node/734201620,Pizzeria Valmaria,Ledro,38067,Via val Maria,53,,"[10.7453614, 45.8699429]"
resturant98,node/736861020,Waalrast,Lana,39011,Waalweg,5,,"[11.1611856, 46.5970452]"
resturant99,node/738029849,Linthof,Naturns - Naturno,39025,Sonnenberg-Monte Sole,48,,"[10.9790558, 46.6623336]"
resturant100,node/764073298,Osteria San Rocco,Trento,38123,Via Lodovico de Balzani,2,+39 0461 983917,"[11.0963426, 46.0642247]"
resturant101,node/768139535,Zur Brücke,Prissian - Prissiano,39010,Prissianer Straße - Via Prissiano,2A,,"[11.1794584, 46.5526124]"
resturant102,node/768270884,"Altenburger Hof, Restaurant",Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Altenburg - Castelvecchio,37,,"[11.2390109, 46.3771946]"
resturant103,node/768593714,Geier,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Località San Giuseppe al Lago - St. Josef am See,12,,"[11.2589603, 46.3859813]"
resturant104,node/769077789,Pizzeria Angolo Moretti,Bolzano - Bozen,39100,Via Torino - Turinstraße,1,,"[11.3413017, 46.4917018]"
resturant105,node/769077790,Zio Alfonso,Bolzano - Bozen,39100,Viale Druso - Drususallee,50,+39 0471 286160,"[11.3356454, 46.4954529]"
resturant106,node/780142013,Tosteria Italiana,Rovereto,38068,Via Paoli,20e,,"[11.0400365, 45.8927362]"
resturant107,node/799244306,Ristorante Boivin,Levico Terme,38056,Via Giuseppe Garibaldi,9,,"[11.3003904, 46.0112745]"
resturant108,node/799244380,La Stua,Levico Terme,38056,Via Cesare Battisti,62,,"[11.2998717, 46.0092258]"
resturant109,node/799244416,Pizzeria Ristorante Millennium,Levico Terme,38056,Viale Vittorio Emanuele,50,+39 0461 703012,"[11.2947388, 46.0166373]"
resturant110,node/811086967,Ristorante al Vò,Trento,38122,Vicolo del Vò,11,,"[11.1240341, 46.0707584]"
resturant111,node/811087041,Le due spade,Trento,38122,Via Don Arcangelo Rizzi,11,+39 0461 234343,"[11.1202703, 46.0669357]"
resturant112,node/831618676,Saubacher Hof,Barbian - Barbiano,39040,Saubach,10,+39 0471 654344,"[11.5111791, 46.5885575]"
resturant113,node/850250435,Trattoria al Lago,Ton,38010,Località Castelletto,2,+39 0461 601423,"[11.0621191, 46.2395872]"
resturant114,node/850426779,Bad St. Isidor - Bagni S. Isidoro,Bolzano - Bozen,39100,Via Campegno - Kampennerweg,31,,"[11.3839561, 46.4812756]"
resturant115,node/853802748,Casa Lia,Trento,38122,Via Giuseppe Mazzini,50,,"[11.1229622, 46.0655401]"
resturant116,node/861050488,La Paninoteca,Mezzolombardo,38017,Via Trento,24,+39 0461 602338,"[11.0940885, 46.2081112]"
resturant117,node/865298453,Scrigno Del Duomo,Trento,38122,Piazza del Duomo,29,+39 0461 220030,"[11.1208671, 46.0673691]"
resturant118,node/867439213,Fujiyama,Trento,38122,Corso Tre Novembre,29,+39 0461 1822050,"[11.1246535, 46.0614959]"
resturant119,node/870463323,Hua Xing,Mezzolombardo,38017,Corso Giuseppe Mazzini,85,+39 0461 605778,"[11.0906551, 46.210974]"
resturant120,node/873873425,Zum Turm,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Andreas-Hofer-Straße - Via Andreas Hofer,32,,"[11.2460383, 46.4136202]"
resturant121,node/877075854,Hosteria Toblino,Sarche,38070,Via Garda,3,,"[10.95229, 46.0453269]"
resturant122,node/877620681,Il Simposio,Trento,38122,Via Antonio Rosmini,19,+39 0461 261848,"[11.1190746, 46.0679394]"
resturant123,node/877621024,Bouganville,Trento,38122,Via Francesco Petrarca,1/4,+39 0461 236666,"[11.1243103, 46.0732669]"
resturant124,node/885669886,Osteria il Cappello,Trento,38122,Piazzetta Bruno Lunelli,5,+39 0461 235850,"[11.1252167, 46.0694744]"
resturant125,node/885669909,Antico Pozzo,Trento,38122,Vicolo della S.A.T.,6,+39 0461 262943,"[11.1231435, 46.0704721]"
resturant126,node/885670117,Ristorante Pizzeria Anfiteatro,Trento,38122,Piazzetta Anfiteatro,10,,"[11.1255339, 46.0692243]"
resturant127,node/886395376,Speckstube Eggerhof,Prags - Braies,39030,Eggerhof,5,,"[12.1036696, 46.7159964]"
resturant128,node/888671469,Trittico,Trento,38121,"Piazza del ""Tridente""",19,+39 0461 822287,"[11.1198778, 46.0864895]"
resturant129,node/890516959,Happy Hour,Trento,38122,Via Fratelli Perini,57,+39 0461 392394,"[11.1205091, 46.0601411]"
resturant130,node/892578912,Tre Portoni,Trento,38122,Via cardinale Cristoforo Madruzzo,76,,"[11.1231255, 46.0637857]"
resturant131,node/892579043,Uva & Menta,Trento,38122,Via Dietro le Mura A,35,+39 0461 1903162,"[11.1246474, 46.0655008]"
resturant132,node/895945447,Tartufo,Trento,38121,Via Padre Emilio Chiocchetti,42,+39 0461 822233,"[11.1187455, 46.0941956]"
resturant133,node/905799756,Waalerhütte,Schenna - Scena,39017,Verdins,6,,"[11.2317118, 46.7150013]"
resturant134,node/906969026,Poke sun-rice,Trento,38122,Piazza Lodron,7,,"[11.1231389, 46.0679917]"
resturant135,node/909818124,Korallo,Trento,38122,Via Venezia,123,,"[11.1363013, 46.069728]"
resturant136,node/918957461,Hotel Ristorante Alla Nave,Nave San Felice,38015,Via Nazionale,29,+39 0461 870111,"[11.112481, 46.1649408]"
resturant137,node/936119791,Avelina,Hafling - Avelengo,39010,Hinterdorferweg,14,,"[11.2329895, 46.6414152]"
resturant138,node/939108271,Zur Brücke,Franzensfeste - Fortezza,39045,Mittewald,2,,"[11.5739888, 46.807391]"
resturant139,node/939588781,Flamingo,Cles,38023,Via Romana,1,+39 0463 421105,"[11.0361891, 46.364303]"
resturant140,node/943285753,Pizza Granda,Cles,38023,Piazza Granda,54,+39 0463 424007,"[11.0334435, 46.3652479]"
resturant141,node/943372500,Caprice,Cles,38023,Via Armando Diaz,18,,"[11.028687, 46.3604479]"
resturant142,node/943890849,Nazionale,Cles,38023,Via Trento,52,,"[11.036373, 46.3622706]"
resturant143,node/945021956,Cacio & Pepe,Trento,38121,Via Ponte Alto,79,,"[11.1486234, 46.0736462]"
resturant144,node/945470842,Il Glicine,Cles,38023,Via Fabio Filzi,17c,,"[11.0324192, 46.3664036]"
resturant145,node/945470857,Piadineria Picasso,Cles,38023,Via Fabio Filzi,23,,"[11.0317157, 46.3668066]"
resturant146,node/946581637,Ristorante El Filò,Pozza di Fassa,38036,Strada Dolomites,103,,"[11.6839431, 46.4282785]"
resturant147,node/950577478,Ristorante Pizzeria Da Germana,Roveré della Luna,38030,Via dei Mulini,20,+39 0461 658546,"[11.1670783, 46.2529542]"
resturant148,node/955304924,Ristorante pizzeria Torrefranca,Mattarello,38123,Via Pomeranos,46,,"[11.1325434, 46.014365]"
resturant149,node/955954349,Trattoria Belvedere,Arco,38062,Via Filippo Serafini,2,,"[10.8605169, 45.9193215]"
resturant150,node/963380711,Sushi Chen,Cles,38023,Viale Alcide de Gasperi,106,,"[11.028998, 46.357031]"
resturant151,node/963839415,Passaparola,Levico Terme,38056,Via iuseppe Garibaldi,99,+39 0461 701802,"[11.2979721, 46.0126798]"
resturant152,node/963849190,Papillon,Levico Terme,38056,Via Domenico Giannettini,9,,"[11.3118736, 46.0090104]"
resturant153,node/963850107,La Vecchia Fontana,Levico Terme,38056,Piazza Venezia,5,+39 0461 706366,"[11.3017623, 46.0108537]"
resturant154,node/964709886,Al Casello,,38121,Via Klagenfurt,2,+39 0461 1919055,"[11.0933813, 46.1169072]"
resturant155,node/964868305,Kolpinghaus Bozen,Bolzano - Bozen,39100,Largo Adolph Kolping - Adolph-Kolping-Straße,3,,"[11.3504741, 46.4975013]"
resturant156,node/965088970,Pizzeria Jolly,Calliano,38060,Via Cesare Battisti,9,,"[11.0950623, 45.9340044]"
resturant157,node/969087852,Domo,Trento,38122,Piazza Adamo d'Arogno,1,+39 0461 1416669,"[11.1221141, 46.0667166]"
resturant158,node/976794325,Poke go,Trento,38122,Via San Vigilio,15,,"[11.1224587, 46.0665159]"
resturant159,node/991704085,Ibris Pizzeria e Drink,Trento,38122,Via Camillo Benso Cavour,32,,"[11.1205662, 46.0680377]"
resturant160,node/1007816981,Alma9,Bolzano - Bozen,39100,Via del Macello - Schlachthofstraße,9a,,"[11.3671988, 46.4973653]"
resturant161,node/1062772452,Essenza,Trento,38122,Via Calepina,39,,"[11.124586, 46.0671251]"
resturant162,node/1068411472,Roma,Mezzolombardo,38017,Via Garibaldi,100,,"[11.0881063, 46.2157998]"
resturant163,node/1072504536,La Cantinota,Levico Terme,38056,Via Trieste,1,+39 0461 711699,"[11.3013451, 46.0113099]"
resturant164,node/1103418479,Kaserbisn Hitt,Fierozzo - Vlarotz,38050,Prati Imperiali Alti,1,,"[11.3396713, 46.1027884]"
resturant165,node/1108425608,Maso Vecchio Vetriolo,Levico Terme,38056,Località Vetriolo,11,,"[11.3171368, 46.0420421]"
resturant166,node/1112898194,Ciao,Trento,38121,Via del Brennero,320,,"[11.11696, 46.0902962]"
resturant167,node/1128112507,Pizzeria Goldener Apfel,Natz - Naz,39040,Schlossergasse - Via Schlossergasse,10,,"[11.6814442, 46.7534641]"
resturant168,node/1132368758,Bar/Restaurant/Konditorei Aida,Bolzano - Bozen,39100,Piazza Walther - Walther-Platz,1a,,"[11.355308, 46.4987095]"
resturant169,node/1138738197,Welcome India,Trento,38122,Corso Michelangelo Buonarroti,56a,+39 0461 984255,"[11.117452, 46.0721641]"
resturant170,node/1147756663,Forsterbräu Trento,Trento,38122,Via Paolo Oss Mazzurana,38,+39 0461 235590,"[11.1224948, 46.0687513]"
resturant171,node/1211136673,Tàstiko,Trento,38122,Piazza Santa Maria Maggiore,34,,"[11.1188135, 46.0683935]"
resturant172,node/1212207472,La Vecchia Zambana,Terre d'Adige,38010,Via per Zambana,14,,"[11.0803946, 46.1560805]"
resturant173,node/1227195165,Agritur Sandro,Sporminore,38010,Via Maron,6,+39 0461 641093,"[11.0306302, 46.2380978]"
resturant174,node/1229166759,Pizza Asporto,Pozza di Fassa,38036,Strada de Meida,32,,"[11.6887936, 46.4300746]"
resturant175,node/1230287511,Pizzeria Da Salin,Pozza di Fassa,38036,Strada Dolomites,169,,"[11.69011, 46.435889]"
resturant176,node/1256720941,Roßlaufhof,Salorno - Salurn,39040,Via Trento - Trientstraße,20,,"[11.2095052, 46.240561]"
resturant177,node/1256720944,La Bot - Restaurant - Pizzeria,,39040,Via Trento - Trientstraße,42,+39 0471 1680348,"[11.2084859, 46.2397754]"
resturant178,node/1264896565,Al Gusto,Trento,38122,Via Milano,80,,"[11.1284655, 46.0611277]"
resturant179,node/1271576468,Centrale,Flavon,38093,Via Nazionale,37,+39 0461 652178,"[11.0308909, 46.2992282]"
resturant180,node/1290442827,Flower Burger,Trento,38122,Via Giuseppe Verdi,19,+39 0461 1489303,"[11.1178027, 46.0666025]"
resturant181,node/1296017949,Bella Cina,Bruneck - Brunico,39031,Sankt Lorenzner Straße - Via San Lorenzo,8c,,"[11.9301754, 46.7930018]"
resturant182,node/1308041322,"Ristorante Birreria ""Al Giardino""",Pannone,38065,Viale al Castello,19,+39 0464 803021,"[10.9338068, 45.8771102]"
resturant183,node/1312818573,Nunu’s,Trento,38122,Via Giuseppe Mazzini,33,,"[11.1230007, 46.0657958]"
resturant184,node/1323753476,Platzl,Stegen - Stegona,39031,Heiligen Kreuz Straße - Via Santa Croce,4,,"[11.925474, 46.7952582]"
resturant185,node/1331577082,Ristorante Pizzeria Rosalpina,Villazzano,38123,Via Pianizza,25,+39 0461 920131,"[11.1498623, 46.0213467]"
resturant186,node/1332188347,Turm,St. Pankraz - San Pancrazio,39010,Dörfl,31,,"[11.0871767, 46.5860695]"
resturant187,node/1350658039,Officina Gambrinus,Gardolo,38121,Via Alto Adige,164b,+39 0461 993261,"[11.1094114, 46.1278938]"
resturant188,node/1364971578,Bond One,Trento,38123,Strada di Vason,110,,"[11.0570916, 46.0391807]"
resturant189,node/1366801089,Bella 'mbriana,Trento,38122,Via Livio Marchetti,11,+39 0461 985653,"[11.1266406, 46.0695117]"
resturant190,node/1366801107,La Cantinota,Trento,38122,Via San Marco,22,,"[11.1249374, 46.0700878]"
resturant191,node/1369533422,Tipico,Trento,38122,Via Calepina,28,,"[11.1245191, 46.0670225]"
resturant192,node/1370440487,Zmailer Hof,Schenna - Scena,39017,Bergerweg,17,,"[11.209269, 46.6880496]"
resturant193,node/1370491067,Gasthof Rastlhof,Schenna - Scena,39017,St. Georgenstrasse,54,,"[11.2049087, 46.6848008]"
resturant194,node/1371609692,Pitzock,Villnöß - Funes,39040,Pizack,30,,"[11.6839487, 46.6406381]"
resturant195,node/1387720796,Laranzer Schwaige - Malga Laranz,Kastelruth - Castelrotto,39040,Saltria,25,,"[11.6504229, 46.5268297]"
resturant196,node/1400437569,PizzaPazza Kebab,Bolzano - Bozen,39100,Via Alto Adige - Südtiroler Straße,24,,"[11.3547138, 46.4966585]"
resturant197,node/1404359364,Bar Pizzeria Cucina San Francesco,Cavizzana,38022,Piazza dell'Emigrante,10,+39 0463 900162,"[10.9578153, 46.3674649]"
resturant198,node/1415471354,Oltrepizza,Civezzano,38045,Via Murialdo,1b,,"[11.1812668, 46.0902216]"
resturant199,node/1416885422,Schaurhof,Sterzing,39049,Ried,20,,"[11.4470516, 46.9185924]"
resturant200,node/1431628407,Pizzeria Ristorante Pace,Arco,38062,Via Vergolano,42,,"[10.8841607, 45.919716]"
resturant201,node/1444891925,Al Volt,Riva del Garda,38066,Via Fiume,73,,"[10.8397092, 45.8863128]"
resturant202,node/1449166720,Panorama,Taio,38012,Via Roma,60,+39 0463 467206,"[11.0687412, 46.3171673]"
resturant203,node/1462796976,Sushizen,Trento,38122,Via Malpaga,14,+39 0461 262109,"[11.1231582, 46.0688102]"
resturant204,node/1474883150,Isi Hütte - Kalditscher Wirt - Malga Isi,Redagno - Radein,39040,Passo degli Oclini - Jochgrimm,11,,"[11.4369048, 46.3430961]"
resturant205,node/1477270680,Aroma,Trento,38122,Via San Pio X,29,+39 0461 092843,"[11.1202614, 46.0560464]"
resturant206,node/1487741040,Agritur Bagolin,Ton,38010,Via Valle,23,,"[11.0895174, 46.2656194]"
resturant207,node/1493571353,Saporoso,Trento,38122,Via dei Mille,1,+39 0461 391118,"[11.1275774, 46.0629892]"
resturant208,node/1503398796,Pizzeria Chef,Trento,38122,Largo Giosuè Carducci,31,,"[11.1248674, 46.0683972]"
resturant209,node/1511958499,Bar Ciao,Molveno,38018,Via Nazionale,22,,"[10.9651517, 46.1441243]"
resturant210,node/1521449447,Veg. Point,Tenna,38050,Via Alberè,22/1,+39 0461 700149,"[11.2666729, 46.0135215]"
