id,type,Municipality,Star Rating,Facility Name,addrStreet,addrHousenumber,Postal Code,Phone,Email Address,Website,Service Type,Altitude,Number of Beds,Price,Services,coordinates
hotel57,hotel,ANDALO,4-stars,CAVALLINO LOVELY HOTEL,VIA DON FAUSTINO TENAGLIA,9,38010,0461-585701,info@hotelcavallino.com,www.hotelcavallino.com,full-board,1042,74,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel58,hotel,ANDALO,4-stars,DOLCE AVITA,VIA DEL MORO,1,38010,0461-585912,info@hoteldolceavita.it,www.hoteldolceavita.it,full-board,1042,68,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel59,hotel,ANDALO,4-stars,FAMILY & WELLNESS HOTEL SERENA,VIA CROSARE,17,38010,0461-585727,info@hotelserena.it,www.hotelserena.it,full-board,1042,57,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel60,hotel,ANDALO,4-stars,GARNI' LA ROCCIA,VIA PONTE LAMBIN,,38010,0461-585021,info@larocciaandalo.it,www.larocciaandalo.it,bed-and-breakfast,1042,72,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel61,hotel,ANDALO,4-stars,IL PICCOLO DOLOMITI RESORT,VIA PEGORAR,2,38010,0461-585710,piccolo@piccolo.it,www.piccolo.it,full-board,1042,55,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel62,hotel,ANDALO,4-stars,PARK HOTEL SPORT,VIALE TRENTO,1,38010,0461-585821,info@parkhotelsport.it,www.parkhotelsport.it,full-board,1042,94,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel63,hotel,ANDALO,4-stars,SASSDEI MY ACTIVE SUITE HOTEL,VIA RINDOLE,4,38010,0461-585421,info@hotelsassdeiandalo.it,www.hotelsassdeiandalo.it,full-board,1042,24,260.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel64,hotel,ANDALO,4-stars-superior,CORONA DOLOMITES HOTEL,VIA DOSSI,6,38010,0461-585872,info@coronadolomiteshotel.com,www.coronadolomiteshotel.com,full-board,1042,106,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel65,hotel,ANDALO,4-stars-superior,GRAND HOTEL PIZ GALIN,VIA DOSSI,1,38010,0461-585837,info@pizgalin.it,www.pizgalin.it,full-board,1042,112,,Outdoor swimming pool,"[46.1661363, 11.003402]"
hotel66,hotel,ARCO,1-star,ANNA MARIA,LOCALITA'PADARO,,38062,0464-518113,,,full-board,351,10,64.0,,"[45.9181327, 10.8860953]"
hotel67,hotel,ARCO,1-star,AURORA,VIA SANTONI,58,38062,0464-512307,aurorarco@yahoo.it,,full-board,91,10,80.0,Terrace or garden solarium,"[45.9181327, 10.8860953]"
hotel68,hotel,ARCO,1-star,CATTOI,VIALE ROVERETO,64,38062,0464-517070,info@albergocattoi.net,www.albergocattoi.net,full-board,120,25,35.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel69,hotel,ARCO,1-star,GARDEN,FRAZIONE PRABI,,38062,0464-516379,info@hotelgardenarco.com,www.hotelgardenarco.com,bed-and-breakfast,91,72,55.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel70,hotel,ARCO,2-stars,HOTEL ROMA,VIA LUNGO SARCA,14,38062,0464-505428,torboleroma@gmail.com,www.hotelromatorbole.com,bed-and-breakfast,71,56,90.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel71,hotel,ARCO,3-stars,AL FRANTOIO,VIA GRAZIE,22,38062,0464-518317,info@garnialfrantoio.it,www.garnialfrantoio.it,bed-and-breakfast,91,79,,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel72,hotel,ARCO,3-stars,AL SOLE,VIA FORO BOARIO,5,38062,0464-516676,info@soleholiday.com,www.soleholiday.com,full-board,91,35,52.0,Terrace or garden solarium,"[45.9181327, 10.8860953]"
hotel73,hotel,ARCO,3-stars,BAIA AZZURRA,VIA GARDESANA,33,38062,0464-505168,info@baia.it,www.baia-azzurra.com,full-board,71,77,89.0,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel74,hotel,ARCO,3-stars,EVEREST,VIALE ROVERETO,91,38062,0464-519277,info@hoteleverestarco.it,www.hoteleverestarco.it,full-board,120,108,70.0,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel75,hotel,ARCO,3-stars,GARNI' ON THE ROCK,VIA VICOLO ERE,23,38062,0464-516825,info@garniontherock.com,www.garniontherock.com,bed-and-breakfast,91,40,,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel76,hotel,ARCO,3-stars,HOTEL ANGELINI,VIA GARDESANA,19,38062,0464-505279,info@hotel-angelini.com,www.hotel-angelini.com,full-board,71,60,90.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel77,hotel,ARCO,3-stars,MARCHI,VIA FERRERA,22,38062,0464-517171,info@hotelmarchi.com,www.hotelmarchi.com,full-board,91,32,56.0,Terrace or garden solarium,"[45.9181327, 10.8860953]"
hotel78,hotel,ARCO,3-stars,OLIVO,VIALE ROMA,2,38062,0464-516430,info@hotelolivo.it,www.hotelolivo.it,full-board,91,62,70.0,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel79,hotel,ARCO,3-stars,PACE,VIA VERGOLANO,50,38062,0464-516398,info@hotelpace.net,www.hotelpace.net,full-board,91,80,,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel80,hotel,ARCO,3-stars,RESIDENCE HOTEL LA PORTA DEL CUORE,VIA STRAPPAZOCCHE,14,38062,0464-517799,info@laportadelcuore.it,www.laportadelcuore.it,room-only,91,52,85.0,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel81,hotel,ARCO,3-stars,SAN GIORGIO,VIA PASSIRONE,2,38062,0464-521056,info@hotelsangiorgioriva.eu,www.hotelsangiorgioriva.eu,full-board,77,60,90.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel82,hotel,ARCO,3-stars,VILLA DELLE ROSE,VIA SANTA CATERINA,4/P,38062,0464-519091,villadellerose@gardaresort.it,www.gardaresort.it,full-board,91,154,130.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel83,hotel,ARCO,3-stars-superior,PARK GARNI' IL VIGNETO,VIALE ROVERETO,56,38062,0464-514787,info@parkhotelilvigneto.com,www.parkhotelilvigneto.com,bed-and-breakfast,91,60,190.0,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel84,hotel,ARCO,3-stars-superior,VILLA FRANCA,VIA LUNGO SARCA,8,38062,0464-505162,info@hotelvillafranca.net,www.hotelvillafranca.net,full-board,71,62,,Outdoor swimming pool,"[45.9181327, 10.8860953]"
hotel85,hotel,ARCO,4-stars,PALACE HOTEL CITTA',VIALE ROMA,10,38062,0464-531100,info@palacehotelcitta.it,www.palacehotelcitta.it,full-board,91,157,,Elevator to all floors,"[45.9181327, 10.8860953]"
hotel86,hotel,AVIO,1-star,MONTE BALDO,LOCALITA'BORGHETTO,,38060,0464-689008,albergomontebaldo@yahoo.it,www.monte-baldo.it,full-board,124,43,40.0,Parking (insured for at least 50% of the housing units),"[45.733793, 10.937181]"
hotel87,hotel,AVIO,2-stars,ALBERGO ALPINO,LOCALITA' VALDOMENEGAL,,38063,0464-391569,info@albergoalpino.tn.it,www.albergoalpino.tn.it,full-board,1113,25,24.0,Terrace or garden solarium,"[45.733793, 10.937181]"
hotel88,hotel,AVIO,2-stars,ALBERGO VIGNOLA,VIALE A. DEGASPERI,2,38063,0464-685122,info@albergovignola.it,www.albergovignolaavio.it,full-board,131,23,,Terrace or garden solarium,"[45.733793, 10.937181]"
hotel89,hotel,BASELGA DI PINE',1-star,ALBERGO RISTORANTE BAR LA SCARDOLA,"""VIA DEL 26 MAGGIO, 1-3""",,38042,0461-557647,info@ristorantelascardola.it,www.ristorantelascardola.it,full-board,996,17,33.0,Terrace or garden solarium,"[46.133108, 11.2460028]"
hotel90,hotel,BASELGA DI PINE',1-star,GARNI' LAURA,VIA DEI PRAI,37,38042,0461-553017,laura.tessadri@libero.it,www.garnilaura.com,room-only,996,14,43.48,Terrace or garden solarium,"[46.133108, 11.2460028]"
hotel91,hotel,BASELGA DI PINE',2-stars,ALBERGO SAN GIORGIO,VIA BERNARDI,1,38040,0461-557756,info@albergosangiorgio.it,,full-board,882,23,,Terrace or garden solarium,"[46.133108, 11.2460028]"
hotel92,hotel,BASELGA DI PINE',2-stars,SERRAIA,VIALE DELLA SERRAIA,3,38042,0461-557027,albergo.serraia@tin.it,,full-board,975,43,35.0,Terrace or garden solarium,"[46.133108, 11.2460028]"
hotel93,hotel,BASELGA DI PINE',3-stars,2 CAMINI,VIA DEL 26 MAGGIO,65,38042,0461-557200,info@locanda2camini.it,www.locanda2camini.it,full-board,996,21,110.0,Parking (insured for at least 50% of the housing units),"[46.133108, 11.2460028]"
hotel94,hotel,BASELGA DI PINE',3-stars,ALBERGO LA TERRAZZA SUL LAGO - RISTORANTE DEL LAGO,VIA DEI DUE LAGHI,32,38042,0461-557014,ghimpen@gmail.com,,full-board,1025,46,,Elevator to all floors,"[46.133108, 11.2460028]"
hotel95,hotel,BASELGA DI PINE',3-stars,EDERA,TRESSILLA,19,38042,0461-557221,info@hotel-edera.it,www.albergoedera.net,full-board,930,80,70.0,Elevator to all floors,"[46.133108, 11.2460028]"
hotel96,hotel,BASELGA DI PINE',3-stars,GARNI' BUCANEVE,VIA DEL 26 MAGGIO,18,38042,0461-558905,info@garnibellezzaesalute.it,www.garnibellezzaesalute.it,bed-and-breakfast,996,24,,Elevator to all floors,"[46.133108, 11.2460028]"
hotel97,hotel,BASELGA DI PINE',3-stars,HOTEL 2 PINI,VIA DEL 26 MAGGIO,24,38042,0461-557030,info@hotelduepini.net,www.hotelduepini.net,full-board,967,44,80.0,Outdoor swimming pool,"[46.133108, 11.2460028]"
hotel98,hotel,BASELGA DI PINE',3-stars,HOTEL KRONE,VIA CESARE BATTISTI,109,38042,0461-553160,SNCNARDIN@GMAIL.COM,www.hotelkronepine.it,full-board,975,24,91.0,Elevator to all floors,"[46.133108, 11.2460028]"
hotel99,hotel,BASELGA DI PINE',3-stars,HOTEL SCOIATTOLO,VIA DEL BEDOLA'�,12/14,38042,0461-557739,info@scoiattolohotel.it,www.scoiattolohotel.it,full-board,980,81,100.0,Outdoor swimming pool,"[46.133108, 11.2460028]"
hotel100,hotel,BASELGA DI PINE',3-stars,ITALIA,"""VIA C.BATTISTI, 96-98""",,38042,0461-557018,info@hotelitaliapine.it,www.hotelitaliapine.it,full-board,975,56,110.0,Elevator to all floors,"[46.133108, 11.2460028]"
hotel101,hotel,BASELGA DI PINE',3-stars,LAGORAI,VIA DEI CADUTI,21,38042,0461-557044,lagoraihotelpine@gmail.com,www.lagoraihotel.it,full-board,996,62,70.0,Outdoor swimming pool,"[46.133108, 11.2460028]"
hotel102,hotel,BASELGA DI PINE',3-stars,MONTECHIARA,CAMPOLONGO,120,38042,0461-557140,montechiara@montechiara.it,www.montechiara.it,bed-and-breakfast,1047,25,,Elevator to all floors,"[46.133108, 11.2460028]"
hotel103,hotel,BASELGA DI PINE',3-stars,OLIMPIC,VIA DEL CADRÒBOL,24,38042,0461-558422,hotelolimpic@hotelolimpic.com,www.hotelolimpic.com,full-board,996,72,70.0,Elevator to all floors,"[46.133108, 11.2460028]"
hotel104,hotel,BASELGA DI PINE',3-stars,VILLA ANITA,VIA DEL FÒSCH,21,38042,0461-557106,info@albergovillaanita.it,www.albergovillaanita.it,full-board,975,44,55.0,Elevator to all floors,"[46.133108, 11.2460028]"
hotel105,hotel,BASELGA DI PINE',3-stars,VILLA LORY,VIA DEL CADRÒBOL,30,38042,0461-557211,info@garnivillalory.it,www.garnivillalory.it,full-board,996,21,50.0,Outdoor swimming pool,"[46.133108, 11.2460028]"
hotel106,hotel,BASELGA DI PINE',3-stars-superior,HOTEL BELVEDERE WELLNESS & FAMILY,VIA DOMENICA TARGA,45,38042,0461-557750,info@familyhotelbelvedere.it,www.familyhotelbelvedere.it,full-board,882,100,,Elevator to all floors,"[46.133108, 11.2460028]"
hotel107,hotel,BASELGA DI PINE',4-stars,ROMANTIC HOTEL POSTA 1899 - RISTORANTE CA' DEI BOCI,VIA TARGA,1,38040,0461-558322,info@postahotel1899.it,www.postahotel1899.it,full-board,882,62,,Elevator to all floors,"[46.133108, 11.2460028]"
hotel108,hotel,BASELGA DI PINE',no-stars,VILLA BETTY,FRAZ. TRESSILLA,32,38042,0461-557132,,,full-board,930,48,76.0,Parking (insured for at least 50% of the housing units),"[46.133108, 11.2460028]"
hotel109,hotel,BASELGA DI PINE',no-stars,VILLA PINE',VIA DELLE SCUOLE,9,38042,,,,full-board,964,25,35.0,Parking (insured for at least 50% of the housing units),"[46.133108, 11.2460028]"
hotel110,hotel,BEDOLLO,3-stars,ALBERGO MONTE CROCE,PIAZZA ROSMINI,8,38040,0461-556603,hotelmontecroce@libero.it,www.hotelmontecroce.it,full-board,1104,68,,Elevator to all floors,"[46.1676984, 11.3015887]"
hotel111,hotel,BEDOLLO,3-stars,MIRAMONTI,VIA CAVOUR,20,38043,0461-556626,info@miramontipine.it,www.miramontipine.it,full-board,1021,62,50.0,Elevator to all floors,"[46.1676984, 11.3015887]"
hotel112,hotel,BEDOLLO,3-stars,PINETA,VIA CAVOUR,17,38043,0461-556642,info@infopineta.it,www.infopineta.it,full-board,1021,68,,Elevator to all floors,"[46.1676984, 11.3015887]"
hotel113,hotel,BEDOLLO,4-stars,BIO HOTEL BRUSAGO E RISTORANTE L'OSTERIA DE TONI,PIAZZA ROSMINI,2,38040,0461-556646,info@hotelbrusago.net,www.hotelbrusago.net,full-board,1104,60,226.0,Elevator to all floors,"[46.1676984, 11.3015887]"
hotel114,hotel,BIENO,2-stars,CARRARO,VIA AMM. GIOVANNI BETTOLO,8,38050,0461-596309,info@albergocarraro.it,www.albergocarraro.it,full-board,820,25,45.0,Elevator to all floors,"[46.0806791, 11.5540415]"
hotel115,hotel,BLEGGIO SUPERIORE,2-stars,MIRAVALLE,FRAZ. BALBIDO,2,38071,0465-779803,miravalle.vernazza@hotmail.it,,full-board,773,18,30.0,Terrace or garden solarium,"[46.0069424, 10.7896444]"
hotel116,hotel,BLEGGIO SUPERIORE,no-stars,ALLA ROSA,VIA CENTRALE,86,38071,0465-779829,m.salizzoni@wifi.e4a.it,barallarosa.altervista.org/FramesetHomeLT.htm,full-board,732,9,68.0,Terrace or garden solarium,"[46.0069424, 10.7896444]"
hotel117,hotel,BOCENAGO,3-stars,GARNI' COSTA VERDE,VIA DOTT. ANTONIO FERRAZZA - LOCALITA' COSTA,,38080,0465-804948,garnicostaverdebocenago@gmail.com,www.garnicostaverde.it,bed-and-breakfast,750,30,120.0,Elevator to all floors,"[46.1191034, 10.7588619]"
