Comune;Provincia;Categoria;Denominazione struttura;Indirizzo;Frazione;CAP;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Denominazione ente annuario;Tipologia alberghiera;Tipologia servizio;Codice esercizio ricettivo;Partita IVA;Codice localita;Altitudine;Numero unita;Numero posti letto;Prezzo massimo letto aggiunto;Tipologia unita;Posti letto;Prezzo;Prezzo massimo consumazione pasto;Codice;Servizi;Denominazione dipendenza;Comune dipendenza;Frazione dipendenza;Indirizzo dipendenza;Categoria dipendenza;Prezzo massimo letto aggiunto dipendenza;Prezzo massimo consumazione pasto dipendenza;Tipologia unita dipendenza;Posti letto dipendenza;Prezzo dipendenza
ANDALO;TRENTO;3-stelle;ALASKA;VIA CLAMER, 17;;38010;0461-585631;0461-585231;info@hotelalaska-andalo.it;www.hotelalaska-andalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1151581;1995210224;324;1042;37;81;45.00;suite;;;22.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ALBA NOVA;VIA LE VAL, 2/A;;38010;0461-585009;0461-585845;info@albanova.info;www.albanova.info;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1136755;1813830229;324;1042;22;50;70.00;appartamento;2;255.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ALLO ZODIACO;VIA CROSARE, 20;;38010;0461-585667;0461-1862667;info@allozodiaco.com;www.allozodiaco.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1188855;863910220;324;1042;17;34;55.00;camera-con-bagno;1;95.00;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ANDALO;VIA PAGANELLA, 7;;38010;0461-585849;0461-585893;hotelandalo@13maggio.com;www.hotel-andalo.info;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1237044;415160431;324;1042;49;116;60.00;bicamera-con-bagno;;;40.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;BASS HOTEL;VIA LE VAL, 2;;38010;0461-585560;0461-585482;info@basshotelandalo.com;www.basshotelandalo.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1133005;1671670220;324;1042;19;40;68.00;bicamera-con-bagno;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;BOTTAMEDI;VIA DON FAUSTINO TENAGLIA, 12;;38010;0461-585831;0461-589599;info@hotelbottamedi.it;www.hotelbottamedi.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1189783;1373740222;324;1042;36;69;60.00;bicamera-con-bagno;;;25.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ANDALO;TRENTO;3-stelle;CANADA;VIA DEL MORO, 5;;38010;0461-585636;0461-585491;info@hotelcanada.it;www.hotelcanada.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1226215;1251610224;324;1042;34;67;40.00;camera-con-bagno;1;90.00;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;CIMA TOSA;VIA SAN ROCCO, 8;;38010;0461-589020;0461-589326;info@cimatosa.it;www.cimatosa.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1122735;1571690229;324;1042;9;29;23.00;appartamento;3;233.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;CLUB HOTEL COSTA VERDE AI RONI;VIA RONI, 4;;38010;0461-585798;0461-585576;info@hotelcostaverde.it;www.htlcostaverde.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1242335;2542420415;324;1042;43;94;90.00;bicamera-con-bagno;;;45.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;DALBON;VIA DOSSI;;38010;0461-585839;0461-585910;info@hoteldalbon.com;www.hoteldalbon.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1503903;415330224;324;1042;32;71;29.00;bicamera-con-bagno;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;DE LA VILLE;VIA PRIORI, 4;;38010;0461-585550;0461-585551;info@delavilleandalo.it;www.delavilleandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1236658;1139220220;324;1042;22;50;70.00;bicamera-con-bagno;;;45.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;DIANA;VIA PONTE LAMBIN, 16;;38010;0461-585733;0461-585336;info@hoteldianaandalo.com;www.hoteldianaandalo.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1127126;1671670220;324;1042;35;77;68.00;bicamera-con-bagno;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;DOLOMITI HOTEL OLIMPIA;VIA PAGANELLA, 17;;38010;0461-585715;;info@dolomitihotelolimpia.it;www.dolomitihotelolimpia.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1151356;2096090226;324;1042;38;78;105.00;camera-con-bagno;1;140.00;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;FIORDALISO;VIA PRIORI, 10;;38010;0461-589027;0461-589027;hotelfiordaliso@tin.it;www.hotelfiordaliso.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;garni;prima-colazione;1309843;1443750227;324;1042;15;30;25.00;appartamento;2;156.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;FRANCO;VIA PAGANELLA, 9;;38010;0461-585633;0461-585633;info@hotelfranco.com;www.hotelfranco.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1311712;1791870221;324;1042;24;48;37.00;jr-suite;;;38.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;GARDEN;VIALE TRENTO, 19;;38010;0461-585870;0461-589753;info@gardenandalo.com;www.gardenandalo.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1144125;1232560225;324;1042;27;54;90.00;jr-suite;2;200.00;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;GHEZZI;VIALE TRENTO, 12;;38010;0461-585803;0461-589571;info@ghezzihotel.com;www.ghezzihotel.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1166187;14075790224;324;1042;39;69;40.00;camera-con-bagno;1;80.00;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;GRUPPO BRENTA;VIA STRIGOLE, 1;;38010;0461-585813;0461-585269;info@gruppobrenta.it;www.gruppobrenta.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1255603;1998100224;324;1042;45;93;70.00;bicamera-con-bagno;;;30.00;STANN14.palestra;Palestra;;;;;;;;;;
ANDALO;TRENTO;3-stelle;HOTEL AL PLAN;VIALE TRENTO, 5;;38010;0461-585962;0461-585453;info@hotelalplan.com;www.hotelalplan.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1160880;257090225;324;1042;48;99;81.00;suite;1;116.00;55.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;HOTEL ANGELO;VIA PAGANELLA, 27;;38010;0461-585659;0461-585988;info@hotelangeloandalo.it;www.hotelangeloandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1201347;1667900227;324;1042;30;60;50.00;camera-con-bagno;2;120.00;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;HOTEL CONTINENTAL;VIA LAGHET, 2;;38010;0461-585689;0461-585815;info@htlcontinental.it;www.htlcontinental.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1310523;2328750225;324;1042;35;84;36.00;jr-suite;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;HOTEL PIAN CASTELLO;VIA STRIGOLE, 6;;38010;0461-585609;0461-585624;info@hotelpiancastello.com;www.hotelpiancastello.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1305709;1575130222;324;1042;20;79;56.00;bicamera-con-bagno;;;30.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ANDALO;TRENTO;3-stelle;HOTEL REGENT'S;VIA PAGANELLA, 37;;38010;0461-585922;0461-585930;info@hotelregents.com;www.hotelregents.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1361599;1809680224;324;1042;33;68;40.00;jr-suite;;;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;K 2;VIA RINDOLE, 2;;38010;0461-585880;0461-585808;info@k2andalo.it;www.k2andalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1160377;1425660220;324;1042;25;51;38.00;bicamera-con-bagno;;;15.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;LA BAITA;VIA MONEGO, 1;;38010;339-7370 227;0461-589878;info@hotelbaita.it;www.hotelbaita.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1422059;223390220;324;1042;46;93;38.00;bicamera-con-bagno;;;24.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;LA BUSSOLA;VIALE TRENTO, 11;;38010;0461-585888;0461-589099;info@hotellabussola.com;www.hotellabussola.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1305084;1331900223;324;1042;39;78;80.00;bicamera-con-bagno;;;23.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;MELCHIORI;VIA FOVO, 3;;38010;0461-585829;0461-589291;hotel@melchiori.net;www.melchiori.net;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1192805;1025010222;324;1042;47;107;54.00;bicamera-con-bagno;;;38.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;NEGRESCO;VIA PRIORI,12;;38010;0461-585555;0461-589480;info@hotelnegrescoandalo.it;www.hotelnegrescoandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1122866;1034330223;324;1042;23;48;55.00;bicamera-con-bagno;;;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;PIER;VIA LE VAL, 4;;38010;0461-585784;0461-585965;info@pierhotel.net;www.pierhotel.net;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1170116;2144340227;324;1042;29;62;40.00;bicamera-con-bagno;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;RESIDENCE ANTARES;VIA STRIGOLE, 8;;38010;0461-585399;0461-585394;info@antaresandalo.it;www.antaresandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;prima-colazione;1457748;647740224;324;1042;21;49;50.00;appartamento;2;190.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;RESIDENCE DIAMANT;VIA PAGANELLA, 16;;38010;0461-585481;0461-585266;info@residencediamant.it;www.residencediamant.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1206762;1152720221;324;1042;17;61;30.00;appartamento;2;140.00;;STANN45;TV in tutte le camere;;;;;;;;;;
ANDALO;TRENTO;3-stelle;RESIDENCE HOTEL LAMBIN;VIA CROSARE, 11/A;;38010;0461-589173;0461-589501;info@residencelambin.it;www.residencelambin.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1166056;2051070221;324;1042;10;38;20.00;appartamento;3;150.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ROSA ALPINA;VIA CROSARE, 11;;38010;0461-585874;0461-585204;info@hotelrosaalpina.com;www.hotelrosaalpina.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1195959;1426460224;324;1042;38;73;37.00;jr-suite;;;18.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;SPLENDID;VIA PAGANELLA, 18;;38010;0461-585777;0461-585746;info@splendidhotelandalo.it;www.splendidhotelandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1380807;2060370224;324;1042;63;131;40.00;bicamera-con-bagno;;;28.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ANDALO;TRENTO;3-stelle;STELLA ALPINA;VIA PRIORI, 2;;38010;0461-585835;0461-585429;info@hotelstellaalpina.net;www.hotelstellaalpina.net;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1253098;2212470229;324;1042;58;112;40.00;bicamera-con-bagno;;;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;ALPENANDALO CLUB HOTEL;VIA SAN ROCCO, 15;;38010;0461-585780;0461-585687;info@hotelalpen.it;www.hotelalpen.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1525284;2468660226;324;1042;111;219;80.00;suite;;;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;ALPHOTEL MILANO;VIA DOSSI, 8;;38010;0461-585731;0461-585378;info@alphotelmilano.it;www.alphotelmilano.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1185572;1952340220;324;1042;33;60;55.00;bicamera-con-bagno;;;32.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;ALPINO FAMILY HOTEL;VIA PRIORI, 17;;38010;0461-585946;0461-585303;alpino@alpinofamily.it;www.alpinofamily.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1150020;429230220;324;1042;29;68;60.00;jr-suite;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;ASTORIA COMFORT HOTEL;VIA CROSARE, 7;;38010;0461-585846;0461-585709;info@astoria-andalo.com;www.astoria-andalo.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1509853;323940221;324;1042;55;122;98.00;suite;2;0.00;32.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;HOTEL CRISTALLO;VIA RINDOLE, 1;;38010;0461-585744;0461-585970;info@hotelcristalloandalo.com;www.hotelcristalloandalo.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1329721;162860225;324;1042;36;81;30.00;jr-suite;;;22.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;HOTEL EDEN FAMILY & WELLNESS RESORT;VIA PAGANELLA, 25/A;;38010;0461585282;0461-589270;info@hoteledenandalo.it;www.hoteledenandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1324820;1933230227;324;1042;47;100;90.00;suite;;;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;HOTEL NORDIK NATURA E TRADIZIONE;VIA PAGANELLA, 11;;38010;0461-585879;0461-585301;info@hotelnordik.com;www.hotelnordik.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1170289;1375680228;324;1042;30;50;50.00;camera-con-bagno;1;80.00;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;HOTEL PAGANELLA;VIA PAGANELLA, 1;;38010;0461-585844;0461-589259;info@hotelpaganella.com;www.hotelpaganella.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1457245;1293200224;324;1042;53;112;70.00;suite;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;HOTEL SELECT;VIA DOSSI, 7;;38010;0461-585884;0461-585845;info@hselect.it;www.hselect.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1124645;1050600228;324;1042;59;122;80.00;jr-suite;2;203.00;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle-s;MAJORKA;VIALE TRENTO, 10;;38010;0461-585871;0461-585552;info@hotelmajorka@com;www.hotelmajorka.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1223007;1973050220;324;1042;42;95;80.00;bicamera-con-bagno;;;28.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;ADLER;PIAZZA CENTRALE, 2;;38010;0461-585828;0461-585855;info@adlerhotel.it;www.adlerhotel.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1128886;2356290227;324;1042;59;119;120.00;suite;;;55.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;AMBIEZ SUITE HOTEL;VIA PRIORI, 8;;38010;0461-585556;0461-585343;info@hotelambiez.com;www.hotelambiez.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1258336;607590221;324;1042;32;69;110.00;jr-suite;2;225.00;28.00;STANN07;Ascensore per tutti i piani;AMBIEZ (DIPENDENZA);ANDALO;;VIA PRIORI, 8/A;3-stelle;80.00;28.00;appartamento;;
ANDALO;TRENTO;4-stelle;CAVALLINO LOVELY HOTEL;VIA DON FAUSTINO TENAGLIA, 9;;38010;0461-585701;0461-585222;info@hotelcavallino.com;www.hotelcavallino.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1459246;136250222;324;1042;36;74;100.00;suite;;;60.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;DOLCE AVITA;VIA DEL MORO, 1;;38010;0461-585912;0461-585980;info@hoteldolceavita.it;www.hoteldolceavita.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1123563;829780220;324;1042;35;68;110.00;suite;;;50.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;FAMILY & WELLNESS HOTEL SERENA;VIA CROSARE, 17;;38010;0461-585727;0461-585702;info@hotelserena.it;www.hotelserena.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1544637;1293680227;324;1042;29;57;85.00;suite;;;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;GARNI' LA ROCCIA;VIA PONTE LAMBIN;;38010;0461-585021;0461-589072;info@larocciaandalo.it;www.larocciaandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;garni;prima-colazione;1346894;1947320220;324;1042;38;72;84.00;jr-suite;;;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;IL PICCOLO DOLOMITI RESORT;VIA PEGORAR, 2;;38010;0461-585710;0461-585436;piccolo@piccolo.it;www.piccolo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1308032;672270220;324;1042;26;55;70.00;jr-suite;;;50.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;PARK HOTEL SPORT;VIALE TRENTO, 1;;38010;0461-585821;0461-585521;info@parkhotelsport.it;www.parkhotelsport.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1185061;2075430229;324;1042;48;94;90.00;jr-suite;;;38.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle;SASSDEI MY ACTIVE SUITE HOTEL;VIA RINDOLE, 4;;38010;0461-585421;0461-585421;info@hotelsassdeiandalo.it;www.hotelsassdeiandalo.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;242637745;1968920221;324;1042;12;24;90.00;jr-suite;2;260.00;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle-s;CORONA DOLOMITES HOTEL;VIA DOSSI, 6;;38010;0461-585872;0461-585479;info@coronadolomiteshotel.com;www.coronadolomiteshotel.com;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1359074;2098020221;324;1042;43;106;85.00;jr-suite;;;24.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;4-stelle-s;GRAND HOTEL PIZ GALIN;VIA DOSSI, 1;;38010;0461-585837;0461-585390;info@pizgalin.it;www.pizgalin.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1256041;178470225;324;1042;57;112;160.00;suite;;;60.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
ARCO;TRENTO;1-stella;ANNA MARIA;LOCALITA'PADARO;PADARO;38062;0464-518113;;;;A.P.T. GARDA TRENTINO;albergo;pensione-completa;1389061;262580228;8510;351;5;10;17.00;camera-con-bagno;2;64.00;15.00;;;;;;;;;;;;
