Municipality                      ;Province ;Category         ;Facility Name                                                                ;Address                                               ;District                          ;Postal Code ;Phone                     ;Fax                       ;Email Address                                                      ;Website                                                                                                         ;Hotel Type              ;Service Type          ;VAT Number   ;Altitude ;Number of Units ;Number of Beds ;Max Extra Bed Price ;Unit Type              ;Beds ;Price   ;Max Meal Price ;Services
ANDALO                            ;TRENTO   ;3-stars          ;ALASKA                                                                       ;VIA CLAMER, 17                                        ;                                  ;      38010 ;0461-585631               ;0461-585231               ;info@hotelalaska-andalo.it                                         ;www.hotelalaska-andalo.it                                                                                       ;hotel                   ;full-board            ;1995210224   ;    1042 ;             37 ;            81 ;              45.0  ;suite                  ;     ;        ;         22.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ALBA NOVA                                                                    ;VIA LE VAL, 2/A                                       ;                                  ;      38010 ;0461-585009               ;0461-585845               ;info@albanova.info                                                 ;www.albanova.info                                                                                               ;tourist hotel residence ;room-only             ;1813830229   ;    1042 ;             22 ;            50 ;              70.0  ;apartment              ; 2.0 ; 255.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ALLO ZODIACO                                                                 ;VIA CROSARE, 20                                       ;                                  ;      38010 ;0461-585667               ;0461-1862667              ;info@allozodiaco.com                                               ;www.allozodiaco.com                                                                                             ;hotel                   ;full-board            ;863910220    ;    1042 ;             17 ;            34 ;              55.0  ;room-with-bathroom     ; 1.0 ;  95.0  ;         35.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ANDALO                                                                       ;VIA PAGANELLA, 7                                      ;                                  ;      38010 ;0461-585849               ;0461-585893               ;hotelandalo@13maggio.com                                           ;www.hotel-andalo.info                                                                                           ;hotel                   ;full-board            ;415160431    ;    1042 ;             49 ;           116 ;              60.0  ;two-room-with-bathroom ;     ;        ;         40.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;BASS HOTEL                                                                   ;VIA LE VAL, 2                                         ;                                  ;      38010 ;0461-585560               ;0461-585482               ;info@basshotelandalo.com                                           ;www.basshotelandalo.com                                                                                         ;hotel                   ;full-board            ;1671670220   ;    1042 ;             19 ;            40 ;              68.0  ;two-room-with-bathroom ;     ;        ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;BOTTAMEDI                                                                    ;VIA DON FAUSTINO TENAGLIA, 12                         ;                                  ;      38010 ;0461-585831               ;0461-589599               ;info@hotelbottamedi.it                                             ;www.hotelbottamedi.it                                                                                           ;hotel                   ;full-board            ;1373740222   ;    1042 ;             36 ;            69 ;              60.0  ;two-room-with-bathroom ;     ;        ;         25.0  ;Terrace or solarium garden
ANDALO                            ;TRENTO   ;3-stars          ;CANADA                                                                       ;VIA DEL MORO, 5                                       ;                                  ;      38010 ;0461-585636               ;0461-585491               ;info@hotelcanada.it                                                ;www.hotelcanada.it                                                                                              ;hotel                   ;full-board            ;1251610224   ;    1042 ;             34 ;            67 ;              40.0  ;room-with-bathroom     ; 1.0 ;  90.0  ;         20.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;CIMA TOSA                                                                    ;VIA SAN ROCCO, 8                                      ;                                  ;      38010 ;0461-589020               ;0461-589326               ;info@cimatosa.it                                                   ;www.cimatosa.it                                                                                                 ;tourist hotel residence ;room-only             ;1571690229   ;    1042 ;              9 ;            29 ;              23.0  ;apartment              ; 3.0 ; 233.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;CLUB HOTEL COSTA VERDE AI RONI                                               ;VIA RONI, 4                                           ;                                  ;      38010 ;0461-585798               ;0461-585576               ;info@hotelcostaverde.it                                            ;www.htlcostaverde.it                                                                                            ;hotel                   ;full-board            ;2542420415   ;    1042 ;             43 ;            94 ;              90.0  ;two-room-with-bathroom ;     ;        ;         45.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;DALBON                                                                       ;VIA DOSSI                                             ;                                  ;      38010 ;0461-585839               ;0461-585910               ;info@hoteldalbon.com                                               ;www.hoteldalbon.com                                                                                             ;hotel                   ;full-board            ;415330224    ;    1042 ;             32 ;            71 ;              29.0  ;two-room-with-bathroom ;     ;        ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;DE LA VILLE                                                                  ;VIA PRIORI, 4                                         ;                                  ;      38010 ;0461-585550               ;0461-585551               ;info@delavilleandalo.it                                            ;www.delavilleandalo.it                                                                                          ;hotel                   ;full-board            ;1139220220   ;    1042 ;             22 ;            50 ;              70.0  ;two-room-with-bathroom ;     ;        ;         45.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;DIANA                                                                        ;VIA PONTE LAMBIN, 16                                  ;                                  ;      38010 ;0461-585733               ;0461-585336               ;info@hoteldianaandalo.com                                          ;www.hoteldianaandalo.com                                                                                        ;hotel                   ;full-board            ;1671670220   ;    1042 ;             35 ;            77 ;              68.0  ;two-room-with-bathroom ;     ;        ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;DOLOMITI HOTEL OLIMPIA                                                       ;VIA PAGANELLA, 17                                     ;                                  ;      38010 ;0461-585715               ;                          ;info@dolomitihotelolimpia.it                                       ;www.dolomitihotelolimpia.it                                                                                     ;hotel                   ;full-board            ;2096090226   ;    1042 ;             38 ;            78 ;             105.0  ;room-with-bathroom     ; 1.0 ; 140.0  ;         35.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;FIORDALISO                                                                   ;VIA PRIORI, 10                                        ;                                  ;      38010 ;0461-589027               ;0461-589027               ;hotelfiordaliso@tin.it                                             ;www.hotelfiordaliso.com                                                                                         ;hotel                   ;bed-and-breakfast     ;1443750227   ;    1042 ;             15 ;            30 ;              25.0  ;apartment              ; 2.0 ; 156.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;FRANCO                                                                       ;VIA PAGANELLA, 9                                      ;                                  ;      38010 ;0461-585633               ;0461-585633               ;info@hotelfranco.com                                               ;www.hotelfranco.com                                                                                             ;hotel                   ;full-board            ;1791870221   ;    1042 ;             24 ;            48 ;              37.0  ;jr-suite               ;     ;        ;         38.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;GARDEN                                                                       ;VIALE TRENTO, 19                                      ;                                  ;      38010 ;0461-585870               ;0461-589753               ;info@gardenandalo.com                                              ;www.gardenandalo.com                                                                                            ;hotel                   ;full-board            ;1232560225   ;    1042 ;             27 ;            54 ;              90.0  ;jr-suite               ; 2.0 ; 200.0  ;         35.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;GHEZZI                                                                       ;VIALE TRENTO, 12                                      ;                                  ;      38010 ;0461-585803               ;0461-589571               ;info@ghezzihotel.com                                               ;www.ghezzihotel.com                                                                                             ;hotel                   ;full-board            ;14075790224  ;    1042 ;             39 ;            69 ;              40.0  ;room-with-bathroom     ; 1.0 ;  80.0  ;         30.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;GRUPPO BRENTA                                                                ;VIA STRIGOLE, 1                                       ;                                  ;      38010 ;0461-585813               ;0461-585269               ;info@gruppobrenta.it                                               ;www.gruppobrenta.it                                                                                             ;hotel                   ;full-board            ;1998100224   ;    1042 ;             45 ;            93 ;              70.0  ;two-room-with-bathroom ;     ;        ;         30.0  ;Gym
ANDALO                            ;TRENTO   ;3-stars          ;HOTEL AL PLAN                                                                ;VIALE TRENTO, 5                                       ;                                  ;      38010 ;0461-585962               ;0461-585453               ;info@hotelalplan.com                                               ;www.hotelalplan.com                                                                                             ;hotel                   ;full-board            ;257090225    ;    1042 ;             48 ;            99 ;              81.0  ;suite                  ; 1.0 ; 116.0  ;         55.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;HOTEL ANGELO                                                                 ;VIA PAGANELLA, 27                                     ;                                  ;      38010 ;0461-585659               ;0461-585988               ;info@hotelangeloandalo.it                                          ;www.hotelangeloandalo.it                                                                                        ;hotel                   ;full-board            ;1667900227   ;    1042 ;             30 ;            60 ;              50.0  ;room-with-bathroom     ; 2.0 ; 120.0  ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;HOTEL CONTINENTAL                                                            ;VIA LAGHET, 2                                         ;                                  ;      38010 ;0461-585689               ;0461-585815               ;info@htlcontinental.it                                             ;www.htlcontinental.it                                                                                           ;hotel                   ;full-board            ;2328750225   ;    1042 ;             35 ;            84 ;              36.0  ;jr-suite               ;     ;        ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;HOTEL PIAN CASTELLO                                                          ;VIA STRIGOLE, 6                                       ;                                  ;      38010 ;0461-585609               ;0461-585624               ;info@hotelpiancastello.com                                         ;www.hotelpiancastello.com                                                                                       ;hotel                   ;full-board            ;1575130222   ;    1042 ;             20 ;            79 ;              56.0  ;two-room-with-bathroom ;     ;        ;         30.0  ;Terrace or solarium garden
ANDALO                            ;TRENTO   ;3-stars          ;HOTEL REGENT'S                                                               ;VIA PAGANELLA, 37                                     ;                                  ;      38010 ;0461-585922               ;0461-585930               ;info@hotelregents.com                                              ;www.hotelregents.com                                                                                            ;hotel                   ;full-board            ;1809680224   ;    1042 ;             33 ;            68 ;              40.0  ;jr-suite               ;     ;        ;         20.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;K 2                                                                          ;VIA RINDOLE, 2                                        ;                                  ;      38010 ;0461-585880               ;0461-585808               ;info@k2andalo.it                                                   ;www.k2andalo.it                                                                                                 ;hotel                   ;full-board            ;1425660220   ;    1042 ;             25 ;            51 ;              38.0  ;two-room-with-bathroom ;     ;        ;         15.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;LA BAITA                                                                     ;VIA MONEGO, 1                                         ;                                  ;      38010 ;339-7370 227              ;0461-589878               ;info@hotelbaita.it                                                 ;www.hotelbaita.it                                                                                               ;hotel                   ;full-board            ;223390220    ;    1042 ;             46 ;            93 ;              38.0  ;two-room-with-bathroom ;     ;        ;         24.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;LA BUSSOLA                                                                   ;VIALE TRENTO, 11                                      ;                                  ;      38010 ;0461-585888               ;0461-589099               ;info@hotellabussola.com                                            ;www.hotellabussola.com                                                                                          ;hotel                   ;full-board            ;1331900223   ;    1042 ;             39 ;            78 ;              80.0  ;two-room-with-bathroom ;     ;        ;         23.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;MELCHIORI                                                                    ;VIA FOVO, 3                                           ;                                  ;      38010 ;0461-585829               ;0461-589291               ;hotel@melchiori.net                                                ;www.melchiori.net                                                                                               ;hotel                   ;full-board            ;1025010222   ;    1042 ;             47 ;           107 ;              54.0  ;two-room-with-bathroom ;     ;        ;         38.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;NEGRESCO                                                                     ;VIA PRIORI,12                                         ;                                  ;      38010 ;0461-585555               ;0461-589480               ;info@hotelnegrescoandalo.it                                        ;www.hotelnegrescoandalo.it                                                                                      ;hotel                   ;full-board            ;1034330223   ;    1042 ;             23 ;            48 ;              55.0  ;two-room-with-bathroom ;     ;        ;         20.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;PIER                                                                         ;VIA LE VAL, 4                                         ;                                  ;      38010 ;0461-585784               ;0461-585965               ;info@pierhotel.net                                                 ;www.pierhotel.net                                                                                               ;hotel                   ;full-board            ;2144340227   ;    1042 ;             29 ;            62 ;              40.0  ;two-room-with-bathroom ;     ;        ;         35.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;RESIDENCE ANTARES                                                            ;VIA STRIGOLE, 8                                       ;                                  ;      38010 ;0461-585399               ;0461-585394               ;info@antaresandalo.it                                              ;www.antaresandalo.it                                                                                            ;tourist hotel residence ;bed-and-breakfast     ;647740224    ;    1042 ;             21 ;            49 ;              50.0  ;apartment              ; 2.0 ; 190.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;RESIDENCE DIAMANT                                                            ;VIA PAGANELLA, 16                                     ;                                  ;      38010 ;0461-585481               ;0461-585266               ;info@residencediamant.it                                           ;www.residencediamant.it                                                                                         ;tourist hotel residence ;room-only             ;1152720221   ;    1042 ;             17 ;            61 ;              30.0  ;apartment              ; 2.0 ; 140.0  ;               ;TV in all bedrooms
ANDALO                            ;TRENTO   ;3-stars          ;RESIDENCE HOTEL LAMBIN                                                       ;VIA CROSARE, 11/A                                     ;                                  ;      38010 ;0461-589173               ;0461-589501               ;info@residencelambin.it                                            ;www.residencelambin.it                                                                                          ;tourist hotel residence ;room-only             ;2051070221   ;    1042 ;             10 ;            38 ;              20.0  ;apartment              ; 3.0 ; 150.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ROSA ALPINA                                                                  ;VIA CROSARE, 11                                       ;                                  ;      38010 ;0461-585874               ;0461-585204               ;info@hotelrosaalpina.com                                           ;www.hotelrosaalpina.com                                                                                         ;hotel                   ;full-board            ;1426460224   ;    1042 ;             38 ;            73 ;              37.0  ;jr-suite               ;     ;        ;         18.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;SPLENDID                                                                     ;VIA PAGANELLA, 18                                     ;                                  ;      38010 ;0461-585777               ;0461-585746               ;info@splendidhotelandalo.it                                        ;www.splendidhotelandalo.it                                                                                      ;hotel                   ;full-board            ;2060370224   ;    1042 ;             63 ;           131 ;              40.0  ;two-room-with-bathroom ;     ;        ;         28.0  ;Terrace or solarium garden
ANDALO                            ;TRENTO   ;3-stars          ;STELLA ALPINA                                                                ;VIA PRIORI, 2                                         ;                                  ;      38010 ;0461-585835               ;0461-585429               ;info@hotelstellaalpina.net                                         ;www.hotelstellaalpina.net                                                                                       ;hotel                   ;full-board            ;2212470229   ;    1042 ;             58 ;           112 ;              40.0  ;two-room-with-bathroom ;     ;        ;         20.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;ALPENANDALO CLUB HOTEL                                                       ;VIA SAN ROCCO, 15                                     ;                                  ;      38010 ;0461-585780               ;0461-585687               ;info@hotelalpen.it                                                 ;www.hotelalpen.it                                                                                               ;hotel                   ;full-board            ;2468660226   ;    1042 ;            111 ;           219 ;              80.0  ;suite                  ;     ;        ;         30.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;ALPHOTEL MILANO                                                              ;VIA DOSSI, 8                                          ;                                  ;      38010 ;0461-585731               ;0461-585378               ;info@alphotelmilano.it                                             ;www.alphotelmilano.it                                                                                           ;hotel                   ;full-board            ;1952340220   ;    1042 ;             33 ;            60 ;              55.0  ;two-room-with-bathroom ;     ;        ;         32.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;ALPINO FAMILY HOTEL                                                          ;VIA PRIORI, 17                                        ;                                  ;      38010 ;0461-585946               ;0461-585303               ;alpino@alpinofamily.it                                             ;www.alpinofamily.it                                                                                             ;hotel                   ;full-board            ;429230220    ;    1042 ;             29 ;            68 ;              60.0  ;jr-suite               ;     ;        ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;ASTORIA COMFORT HOTEL                                                        ;VIA CROSARE, 7                                        ;                                  ;      38010 ;0461-585846               ;0461-585709               ;info@astoria-andalo.com                                            ;www.astoria-andalo.com                                                                                          ;hotel                   ;full-board            ;323940221    ;    1042 ;             55 ;           122 ;              98.0  ;suite                  ; 2.0 ;   0.0  ;         32.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;HOTEL CRISTALLO                                                              ;VIA RINDOLE, 1                                        ;                                  ;      38010 ;0461-585744               ;0461-585970               ;info@hotelcristalloandalo.com                                      ;www.hotelcristalloandalo.com                                                                                    ;hotel                   ;full-board            ;162860225    ;    1042 ;             36 ;            81 ;              30.0  ;jr-suite               ;     ;        ;         22.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;HOTEL EDEN FAMILY & WELLNESS RESORT                                          ;VIA PAGANELLA, 25/A                                   ;                                  ;      38010 ;0461585282                ;0461-589270               ;info@hoteledenandalo.it                                            ;www.hoteledenandalo.it                                                                                          ;hotel                   ;full-board            ;1933230227   ;    1042 ;             47 ;           100 ;              90.0  ;suite                  ;     ;        ;         30.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;HOTEL NORDIK NATURA E TRADIZIONE                                             ;VIA PAGANELLA, 11                                     ;                                  ;      38010 ;0461-585879               ;0461-585301               ;info@hotelnordik.com                                               ;www.hotelnordik.com                                                                                             ;hotel                   ;full-board            ;1375680228   ;    1042 ;             30 ;            50 ;              50.0  ;room-with-bathroom     ; 1.0 ;  80.0  ;         30.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;HOTEL PAGANELLA                                                              ;VIA PAGANELLA, 1                                      ;                                  ;      38010 ;0461-585844               ;0461-589259               ;info@hotelpaganella.com                                            ;www.hotelpaganella.com                                                                                          ;hotel                   ;full-board            ;1293200224   ;    1042 ;             53 ;           112 ;              70.0  ;suite                  ;     ;        ;         35.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;HOTEL SELECT                                                                 ;VIA DOSSI, 7                                          ;                                  ;      38010 ;0461-585884               ;0461-585845               ;info@hselect.it                                                    ;www.hselect.it                                                                                                  ;hotel                   ;full-board            ;1050600228   ;    1042 ;             59 ;           122 ;              80.0  ;jr-suite               ; 2.0 ; 203.0  ;         25.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars-superior ;MAJORKA                                                                      ;VIALE TRENTO, 10                                      ;                                  ;      38010 ;0461-585871               ;0461-585552               ;info@hotelmajorka@com                                              ;www.hotelmajorka.com                                                                                            ;hotel                   ;full-board            ;1973050220   ;    1042 ;             42 ;            95 ;              80.0  ;two-room-with-bathroom ;     ;        ;         28.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;ADLER                                                                        ;PIAZZA CENTRALE, 2                                    ;                                  ;      38010 ;0461-585828               ;0461-585855               ;info@adlerhotel.it                                                 ;www.adlerhotel.it                                                                                               ;hotel                   ;full-board            ;2356290227   ;    1042 ;             59 ;           119 ;             120.0  ;suite                  ;     ;        ;         55.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;AMBIEZ SUITE HOTEL                                                           ;VIA PRIORI, 8                                         ;                                  ;      38010 ;0461-585556               ;0461-585343               ;info@hotelambiez.com                                               ;www.hotelambiez.com                                                                                             ;hotel                   ;full-board            ;607590221    ;    1042 ;             32 ;            69 ;             110.0  ;jr-suite               ; 2.0 ; 225.0  ;         28.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;CAVALLINO LOVELY HOTEL                                                       ;VIA DON FAUSTINO TENAGLIA, 9                          ;                                  ;      38010 ;0461-585701               ;0461-585222               ;info@hotelcavallino.com                                            ;www.hotelcavallino.com                                                                                          ;hotel                   ;full-board            ;136250222    ;    1042 ;             36 ;            74 ;             100.0  ;suite                  ;     ;        ;         60.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;DOLCE AVITA                                                                  ;VIA DEL MORO, 1                                       ;                                  ;      38010 ;0461-585912               ;0461-585980               ;info@hoteldolceavita.it                                            ;www.hoteldolceavita.it                                                                                          ;hotel                   ;full-board            ;829780220    ;    1042 ;             35 ;            68 ;             110.0  ;suite                  ;     ;        ;         50.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;FAMILY & WELLNESS HOTEL SERENA                                               ;VIA CROSARE, 17                                       ;                                  ;      38010 ;0461-585727               ;0461-585702               ;info@hotelserena.it                                                ;www.hotelserena.it                                                                                              ;hotel                   ;full-board            ;1293680227   ;    1042 ;             29 ;            57 ;              85.0  ;suite                  ;     ;        ;         30.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;GARNI' LA ROCCIA                                                             ;VIA PONTE LAMBIN                                      ;                                  ;      38010 ;0461-585021               ;0461-589072               ;info@larocciaandalo.it                                             ;www.larocciaandalo.it                                                                                           ;hotel                   ;bed-and-breakfast     ;1947320220   ;    1042 ;             38 ;            72 ;              84.0  ;jr-suite               ;     ;        ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;IL PICCOLO DOLOMITI RESORT                                                   ;VIA PEGORAR, 2                                        ;                                  ;      38010 ;0461-585710               ;0461-585436               ;piccolo@piccolo.it                                                 ;www.piccolo.it                                                                                                  ;hotel                   ;full-board            ;672270220    ;    1042 ;             26 ;            55 ;              70.0  ;jr-suite               ;     ;        ;         50.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;PARK HOTEL SPORT                                                             ;VIALE TRENTO, 1                                       ;                                  ;      38010 ;0461-585821               ;0461-585521               ;info@parkhotelsport.it                                             ;www.parkhotelsport.it                                                                                           ;hotel                   ;full-board            ;2075430229   ;    1042 ;             48 ;            94 ;              90.0  ;jr-suite               ;     ;        ;         38.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars          ;SASSDEI MY ACTIVE SUITE HOTEL                                                ;VIA RINDOLE, 4                                        ;                                  ;      38010 ;0461-585421               ;0461-585421               ;info@hotelsassdeiandalo.it                                         ;www.hotelsassdeiandalo.it                                                                                       ;hotel                   ;full-board            ;1968920221   ;    1042 ;             12 ;            24 ;              90.0  ;jr-suite               ; 2.0 ; 260.0  ;         20.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;4-stars-superior ;CORONA DOLOMITES HOTEL                                                       ;VIA DOSSI, 6                                          ;                                  ;      38010 ;0461-585872               ;0461-585479               ;info@coronadolomiteshotel.com                                      ;www.coronadolomiteshotel.com                                                                                    ;hotel                   ;full-board            ;2098020221   ;    1042 ;             43 ;           106 ;              85.0  ;jr-suite               ;     ;        ;         24.0  ;Elevator to all floors
